objid,prediction_class
26632,0
26634,0
26638,0
26639,0
26647,0
26655,0
26656,1
26658,0
26661,0
26665,0
26667,0
26669,0
26675,0
26678,0
26680,0
26689,1
26693,0
26696,0
26700,0
26702,0
26705,0
26710,0
26712,2
26713,0
26714,0
26723,0
26729,0
26730,0
26731,0
26735,0
26743,0
26747,1
26750,0
26751,0
26756,2
26761,0
26766,0
26767,0
26768,0
26773,0
26776,0
26780,0
26781,0
26783,0
26784,0
26785,0
26790,0
26795,0
26796,0
26797,0
26798,0
26800,0
26802,0
26803,0
26810,0
26812,0
26813,0
26814,0
26816,0
26817,0
26818,0
26820,0
26821,0
26822,0
26823,0
26825,0
26827,0
26831,0
26832,0
26833,0
26840,0
26841,0
26845,0
26847,2
26849,0
26850,0
26851,1
26854,0
26856,1
26858,0
26859,0
26860,0
26861,0
26865,2
26866,0
26869,0
26870,0
26874,0
26876,0
26880,0
26883,0
26885,0
26887,0
26892,0
26894,0
26896,1
26898,0
26899,0
26901,0
26902,0
26904,0
26906,0
26907,0
26911,0
26912,0
26915,0
26920,0
26922,2
26923,0
26925,0
26926,0
26928,0
26930,0
26931,0
26932,0
26933,0
26935,0
26938,0
26942,0
26945,0
26947,0
26949,0
26950,1
26955,0
26959,0
26961,0
26963,0
26971,0
26972,0
26974,0
26979,0
26981,0
26983,0
26987,0
26991,0
26994,0
27004,0
27006,0
27008,0
27009,0
27011,2
27021,0
27025,0
27029,0
27033,0
27036,1
27038,0
27040,0
27044,0
27046,0
27048,0
27050,0
27051,0
27054,0
27056,0
27058,0
27065,2
27066,0
27067,0
27070,0
27072,0
27073,0
27083,0
27086,2
27087,0
27094,0
27097,0
27098,0
27103,0
27109,0
27112,0
27114,2
27115,0
27116,0
27118,0
27120,0
27123,0
27127,0
27130,2
27138,0
27148,0
27152,2
27154,0
27155,1
27158,2
27159,0
27160,0
27164,0
27168,0
27170,0
27176,0
27177,0
27180,1
27182,0
27183,0
27186,0
27187,0
27190,0
27194,0
27195,0
27199,0
27202,1
27204,0
27209,0
27212,0
27224,0
27227,2
27228,0
27231,0
27239,0
27242,1
27243,0
27245,0
27250,0
27251,0
27254,2
27258,2
27259,0
27260,1
27265,1
27270,0
27274,0
27278,0
27279,0
27280,0
27281,0
27284,0
27286,0
27288,0
27289,0
